eventID,Zone,QuakeProb,Mq,Slip,NumSubfaults
79,java,0.144700E-03,7.500,0.170394E+01,6
80,java,0.144700E-03,7.500,0.170394E+01,6
81,java,0.144700E-03,7.500,0.170394E+01,6
82,java,0.144700E-03,7.500,0.170394E+01,6
83,java,0.144700E-03,7.500,0.170394E+01,6
84,java,0.144700E-03,7.500,0.170394E+01,6
85,java,0.144700E-03,7.500,0.170394E+01,6
86,java,0.144700E-03,7.500,0.170394E+01,6
87,java,0.144700E-03,7.500,0.170394E+01,6
88,java,0.144700E-03,7.500,0.170394E+01,6
89,java,0.144700E-03,7.500,0.170394E+01,6
90,java,0.144700E-03,7.500,0.170394E+01,6
91,java,0.144700E-03,7.500,0.170394E+01,3
92,java,0.144700E-03,7.500,0.170394E+01,6
93,java,0.144700E-03,7.500,0.170394E+01,6
94,java,0.144700E-03,7.500,0.170394E+01,6
95,java,0.144700E-03,7.500,0.170394E+01,6
96,java,0.144700E-03,7.500,0.170394E+01,6
97,java,0.144700E-03,7.500,0.170394E+01,6
98,java,0.144700E-03,7.500,0.170394E+01,6
99,java,0.144700E-03,7.500,0.170394E+01,6
100,java,0.144700E-03,7.500,0.170394E+01,6
101,java,0.144700E-03,7.500,0.170394E+01,6
102,java,0.144700E-03,7.500,0.170394E+01,6
103,java,0.144700E-03,7.500,0.170394E+01,6
104,java,0.144700E-03,7.500,0.170394E+01,3
105,java,0.144700E-03,7.500,0.170394E+01,6
106,java,0.144700E-03,7.500,0.170394E+01,6
107,java,0.144700E-03,7.500,0.170394E+01,6
108,java,0.144700E-03,7.500,0.170394E+01,6
109,java,0.144700E-03,7.500,0.170394E+01,6
110,java,0.144700E-03,7.500,0.170394E+01,6
111,java,0.144700E-03,7.500,0.170394E+01,6
112,java,0.144700E-03,7.500,0.170394E+01,6
113,java,0.144700E-03,7.500,0.170394E+01,6
114,java,0.144700E-03,7.500,0.170394E+01,6
115,java,0.144700E-03,7.500,0.170394E+01,6
116,java,0.144700E-03,7.500,0.170394E+01,6
117,java,0.144700E-03,7.500,0.170394E+01,3
118,java,0.144700E-03,7.500,0.170394E+01,6
119,java,0.144700E-03,7.500,0.170394E+01,6
120,java,0.144700E-03,7.500,0.170394E+01,6
121,java,0.144700E-03,7.500,0.170394E+01,6
122,java,0.144700E-03,7.500,0.170394E+01,6
123,java,0.144700E-03,7.500,0.170394E+01,6
124,java,0.144700E-03,7.500,0.170394E+01,6
125,java,0.144700E-03,7.500,0.170394E+01,6
126,java,0.144700E-03,7.500,0.170394E+01,6
127,java,0.144700E-03,7.500,0.170394E+01,6
128,java,0.144700E-03,7.500,0.170394E+01,6
129,java,0.144700E-03,7.500,0.170394E+01,6
130,java,0.144700E-03,7.500,0.170394E+01,3
131,java,0.144700E-03,7.500,0.170394E+01,6
132,java,0.144700E-03,7.500,0.170394E+01,6
133,java,0.144700E-03,7.500,0.170394E+01,6
134,java,0.144700E-03,7.500,0.170394E+01,6
135,java,0.144700E-03,7.500,0.170394E+01,6
136,java,0.144700E-03,7.500,0.170394E+01,6
137,java,0.144700E-03,7.500,0.170394E+01,6
138,java,0.144700E-03,7.500,0.170394E+01,6
139,java,0.144700E-03,7.500,0.170394E+01,6
140,java,0.144700E-03,7.500,0.170394E+01,6
141,java,0.144700E-03,7.500,0.170394E+01,6
142,java,0.144700E-03,7.500,0.170394E+01,6
143,java,0.144700E-03,7.500,0.170394E+01,3
144,java,0.144700E-03,7.500,0.170394E+01,6
145,java,0.144700E-03,7.500,0.170394E+01,6
146,java,0.144700E-03,7.500,0.170394E+01,6
147,java,0.144700E-03,7.500,0.170394E+01,6
148,java,0.144700E-03,7.500,0.170394E+01,6
149,java,0.144700E-03,7.500,0.170394E+01,6
150,java,0.144700E-03,7.500,0.170394E+01,6
151,java,0.144700E-03,7.500,0.170394E+01,6
152,java,0.144700E-03,7.500,0.170394E+01,6
153,java,0.144700E-03,7.500,0.170394E+01,6
154,java,0.144700E-03,7.500,0.170394E+01,6
155,java,0.144700E-03,7.500,0.170394E+01,6
156,java,0.144700E-03,7.500,0.170394E+01,3
157,java,0.144700E-03,7.500,0.170394E+01,6
158,java,0.144700E-03,7.500,0.170394E+01,6
159,java,0.144700E-03,7.500,0.170394E+01,6
160,java,0.144700E-03,7.500,0.170394E+01,6
161,java,0.144700E-03,7.500,0.170394E+01,6
162,java,0.144700E-03,7.500,0.170394E+01,6
163,java,0.144700E-03,7.500,0.170394E+01,6
164,java,0.144700E-03,7.500,0.170394E+01,6
165,java,0.144700E-03,7.500,0.170394E+01,6
166,java,0.144700E-03,7.500,0.170394E+01,6
167,java,0.144700E-03,7.500,0.170394E+01,6
168,java,0.144700E-03,7.500,0.170394E+01,6
169,java,0.144700E-03,7.500,0.170394E+01,3
170,java,0.144700E-03,7.500,0.170394E+01,6
171,java,0.144700E-03,7.500,0.170394E+01,6
172,java,0.144700E-03,7.500,0.170394E+01,6
173,java,0.144700E-03,7.500,0.170394E+01,6
174,java,0.144700E-03,7.500,0.170394E+01,6
175,java,0.144700E-03,7.500,0.170394E+01,6
176,java,0.144700E-03,7.500,0.170394E+01,6
177,java,0.144700E-03,7.500,0.170394E+01,6
178,java,0.144700E-03,7.500,0.170394E+01,6
179,java,0.144700E-03,7.500,0.170394E+01,6
180,java,0.144700E-03,7.500,0.170394E+01,6
181,java,0.144700E-03,7.500,0.170394E+01,6
182,java,0.144700E-03,7.500,0.170394E+01,3
183,java,0.144700E-03,7.500,0.170394E+01,6
184,java,0.144700E-03,7.500,0.170394E+01,6
185,java,0.144700E-03,7.500,0.170394E+01,6
186,java,0.144700E-03,7.500,0.170394E+01,6
187,java,0.144700E-03,7.500,0.170394E+01,6
188,java,0.144700E-03,7.500,0.170394E+01,6
189,java,0.144700E-03,7.500,0.170394E+01,6
190,java,0.144700E-03,7.500,0.170394E+01,6
191,java,0.144700E-03,7.500,0.170394E+01,6
192,java,0.144700E-03,7.500,0.170394E+01,6
193,java,0.144700E-03,7.500,0.170394E+01,6
194,java,0.144700E-03,7.500,0.170394E+01,6
195,java,0.144700E-03,7.500,0.170394E+01,3
196,java,0.144700E-03,7.500,0.170394E+01,6
197,java,0.144700E-03,7.500,0.170394E+01,6
198,java,0.144700E-03,7.500,0.170394E+01,6
199,java,0.144700E-03,7.500,0.170394E+01,6
200,java,0.144700E-03,7.500,0.170394E+01,6
201,java,0.144700E-03,7.500,0.170394E+01,6
202,java,0.144700E-03,7.500,0.170394E+01,6
203,java,0.144700E-03,7.500,0.170394E+01,6
204,java,0.144700E-03,7.500,0.170394E+01,6
205,java,0.144700E-03,7.500,0.170394E+01,6
206,java,0.144700E-03,7.500,0.170394E+01,6
207,java,0.144700E-03,7.500,0.170394E+01,6
208,java,0.144700E-03,7.500,0.170394E+01,3
209,java,0.144700E-03,7.500,0.170394E+01,6
210,java,0.144700E-03,7.500,0.170394E+01,6
211,java,0.144700E-03,7.500,0.170394E+01,6
212,java,0.144700E-03,7.500,0.170394E+01,6
213,java,0.144700E-03,7.500,0.170394E+01,6
214,java,0.144700E-03,7.500,0.170394E+01,6
215,java,0.144700E-03,7.500,0.170394E+01,6
216,java,0.144700E-03,7.500,0.170394E+01,6
217,java,0.144700E-03,7.500,0.170394E+01,6
218,java,0.144700E-03,7.500,0.170394E+01,6
219,java,0.144700E-03,7.500,0.170394E+01,6
220,java,0.144700E-03,7.500,0.170394E+01,6
221,java,0.144700E-03,7.500,0.170394E+01,3
222,java,0.144700E-03,7.500,0.170394E+01,6
223,java,0.144700E-03,7.500,0.170394E+01,6
224,java,0.144700E-03,7.500,0.170394E+01,6
225,java,0.144700E-03,7.500,0.170394E+01,6
226,java,0.144700E-03,7.500,0.170394E+01,6
227,java,0.144700E-03,7.500,0.170394E+01,6
228,java,0.144700E-03,7.500,0.170394E+01,6
229,java,0.144700E-03,7.500,0.170394E+01,6
230,java,0.144700E-03,7.500,0.170394E+01,6
231,java,0.144700E-03,7.500,0.170394E+01,6
232,java,0.144700E-03,7.500,0.170394E+01,6
233,java,0.144700E-03,7.500,0.170394E+01,6
234,java,0.144700E-03,7.500,0.170394E+01,3
235,java,0.144700E-03,7.500,0.170394E+01,6
236,java,0.144700E-03,7.500,0.170394E+01,6
237,java,0.144700E-03,7.500,0.170394E+01,6
238,java,0.144700E-03,7.500,0.170394E+01,6
239,java,0.144700E-03,7.500,0.170394E+01,6
240,java,0.144700E-03,7.500,0.170394E+01,6
241,java,0.144700E-03,7.500,0.170394E+01,6
242,java,0.144700E-03,7.500,0.170394E+01,6
243,java,0.144700E-03,7.500,0.170394E+01,6
244,java,0.144700E-03,7.500,0.170394E+01,6
245,java,0.144700E-03,7.500,0.170394E+01,6
246,java,0.144700E-03,7.500,0.170394E+01,6
247,java,0.144700E-03,7.500,0.170394E+01,3
248,java,0.144700E-03,7.500,0.170394E+01,6
249,java,0.144700E-03,7.500,0.170394E+01,6
250,java,0.144700E-03,7.500,0.170394E+01,6
251,java,0.144700E-03,7.500,0.170394E+01,6
252,java,0.144700E-03,7.500,0.170394E+01,6
253,java,0.144700E-03,7.500,0.170394E+01,6
254,java,0.144700E-03,7.500,0.170394E+01,6
255,java,0.144700E-03,7.500,0.170394E+01,6
256,java,0.144700E-03,7.500,0.170394E+01,6
257,java,0.144700E-03,7.500,0.170394E+01,6
258,java,0.144700E-03,7.500,0.170394E+01,6
259,java,0.144700E-03,7.500,0.170394E+01,6
260,java,0.144700E-03,7.500,0.170394E+01,3
261,java,0.144700E-03,7.500,0.170394E+01,6
262,java,0.144700E-03,7.500,0.170394E+01,6
263,java,0.144700E-03,7.500,0.170394E+01,6
264,java,0.144700E-03,7.500,0.170394E+01,6
265,java,0.144700E-03,7.500,0.170394E+01,6
266,java,0.144700E-03,7.500,0.170394E+01,6
267,java,0.144700E-03,7.500,0.170394E+01,6
268,java,0.144700E-03,7.500,0.170394E+01,6
269,java,0.144700E-03,7.500,0.170394E+01,6
270,java,0.144700E-03,7.500,0.170394E+01,6
271,java,0.144700E-03,7.500,0.170394E+01,6
272,java,0.144700E-03,7.500,0.170394E+01,6
273,java,0.144700E-03,7.500,0.170394E+01,3
274,java,0.144700E-03,7.500,0.170394E+01,6
275,java,0.144700E-03,7.500,0.170394E+01,6
276,java,0.144700E-03,7.500,0.170394E+01,6
277,java,0.144700E-03,7.500,0.170394E+01,6
278,java,0.144700E-03,7.500,0.170394E+01,6
279,java,0.144700E-03,7.500,0.170394E+01,6
280,java,0.144700E-03,7.500,0.170394E+01,6
281,java,0.144700E-03,7.500,0.170394E+01,6
282,java,0.144700E-03,7.500,0.170394E+01,6
283,java,0.144700E-03,7.500,0.170394E+01,6
284,java,0.144700E-03,7.500,0.170394E+01,6
285,java,0.144700E-03,7.500,0.170394E+01,6
286,java,0.144700E-03,7.500,0.170394E+01,3
287,java,0.144700E-03,7.500,0.170394E+01,6
288,java,0.144700E-03,7.500,0.170394E+01,6
289,java,0.144700E-03,7.500,0.170394E+01,6
290,java,0.144700E-03,7.500,0.170394E+01,6
291,java,0.144700E-03,7.500,0.170394E+01,6
292,java,0.144700E-03,7.500,0.170394E+01,6
293,java,0.144700E-03,7.500,0.170394E+01,6
294,java,0.144700E-03,7.500,0.170394E+01,6
295,java,0.144700E-03,7.500,0.170394E+01,6
296,java,0.144700E-03,7.500,0.170394E+01,6
297,java,0.144700E-03,7.500,0.170394E+01,6
298,java,0.144700E-03,7.500,0.170394E+01,6
299,java,0.144700E-03,7.500,0.170394E+01,3
300,java,0.144700E-03,7.500,0.170394E+01,6
301,java,0.144700E-03,7.500,0.170394E+01,6
302,java,0.144700E-03,7.500,0.170394E+01,6
303,java,0.144700E-03,7.500,0.170394E+01,6
304,java,0.144700E-03,7.500,0.170394E+01,6
305,java,0.144700E-03,7.500,0.170394E+01,6
306,java,0.144700E-03,7.500,0.170394E+01,6
307,java,0.144700E-03,7.500,0.170394E+01,6
308,java,0.144700E-03,7.500,0.170394E+01,6
309,java,0.144700E-03,7.500,0.170394E+01,6
310,java,0.144700E-03,7.500,0.170394E+01,6
311,java,0.144700E-03,7.500,0.170394E+01,6
312,java,0.144700E-03,7.500,0.170394E+01,3
313,java,0.144700E-03,7.500,0.170394E+01,6
314,java,0.144700E-03,7.500,0.170394E+01,6
315,java,0.144700E-03,7.500,0.170394E+01,6
316,java,0.144700E-03,7.500,0.170394E+01,6
317,java,0.144700E-03,7.500,0.170394E+01,6
318,java,0.144700E-03,7.500,0.170394E+01,6
319,java,0.144700E-03,7.500,0.170394E+01,6
320,java,0.144700E-03,7.500,0.170394E+01,6
321,java,0.144700E-03,7.500,0.170394E+01,6
322,java,0.144700E-03,7.500,0.170394E+01,6
323,java,0.144700E-03,7.500,0.170394E+01,6
324,java,0.144700E-03,7.500,0.170394E+01,6
