150.6000,-35.3667,281956.3289,6083645.9210
150.5833,-35.3833,280483.8050,6081767.4433
150.5667,-35.4000,279021.2728,6079877.8196
150.5500,-35.4167,277550.2952,6077987.6978
150.5000,-35.5000,273243.6270,6068632.7032
150.4333,-35.6333,267578.0558,6053688.5443
150.3500,-35.7500,260382.9193,6040540.7747
150.3000,-35.8833,256268.9357,6025627.6521
150.2500,-36.0167,252171.7032,6010700.4788
150.2500,-36.0500,252276.1040,6007005.6808
150.2333,-36.0667,250824.0908,6005110.0561
150.2333,-36.0833,250876.5038,6003268.1870
150.2333,-36.1000,250929.2536,6001415.2183
150.2333,-36.1167,250982.0247,5999562.2457
